id,week,num_weeks,censor,coupon,anyp
463,19,24,0,0.00000035264646,22.9
463,20,24,0,6.07371E-11,8.82
463,21,24,0,3.103112E-22,0
463,22,24,0,0,0
463,23,24,0,0,32.2
463,24,24,1,0,33.4
464,1,24,0,0,55.61
464,2,24,0,0,55.82
464,3,24,0,0.0180370411,55.65
464,4,24,0,0.1262592877,81.17
464,5,24,0,0.078697419,74.45
464,6,24,0,0.044160582,73.82
464,7,24,0,0.0214475487,46.83
464,8,24,0,0.0084743074,0
464,9,24,0,0.0024570064,72.41
464,10,24,0,0.015465007,71.52
464,11,24,0,0.1052483182,89.32
464,12,24,0,0.0655816056,56.05
464,13,24,0,0.0368004851,12.58
464,14,24,0,0.0178729572,13.33
464,15,24,0,0.0070619229,43.31
464,16,24,0,0.0020475053,41.46
464,17,24,0,0.0003617828,41.95
464,18,24,0,0.0000268709,44.47
464,19,24,0,0.00000035264646,22.9
464,20,24,0,6.07371E-11,8.82
464,21,24,0,3.103112E-22,0
464,22,24,0,0,0
464,23,24,0,0,32.2
464,24,24,1,0,33.4
465,1,24,0,0,55.61
465,2,24,0,0,55.82
465,3,24,0,0.0180370411,55.65
465,4,24,0,0.1262592877,81.17
465,5,24,0,0.078697419,74.45
465,6,24,0,0.044160582,73.82
465,7,24,0,0.0214475487,46.83
465,8,24,0,0.0084743074,0
465,9,24,0,0.0024570064,72.41
465,10,24,0,0.015465007,71.52
465,11,24,0,0.1052483182,89.32
465,12,24,0,0.0655816056,56.05
465,13,24,0,0.0368004851,12.58
465,14,24,0,0.0178729572,13.33
465,15,24,0,0.0070619229,43.31
465,16,24,0,0.0020475053,41.46
465,17,24,0,0.0003617828,41.95
465,18,24,0,0.0000268709,44.47
465,19,24,0,0.00000035264646,22.9
465,20,24,0,6.07371E-11,8.82
465,21,24,0,3.103112E-22,0
465,22,24,0,0,0
465,23,24,0,0,32.2
465,24,24,1,0,33.4
466,1,24,0,0,55.61
466,2,24,0,0,55.82
466,3,24,0,0.0180370411,55.65
466,4,24,0,0.1262592877,81.17
466,5,24,0,0.078697419,74.45
466,6,24,0,0.044160582,73.82
466,7,24,0,0.0214475487,46.83
466,8,24,0,0.0084743074,0
466,9,24,0,0.0024570064,72.41
466,10,24,0,0.015465007,71.52
466,11,24,0,0.1052483182,89.32
466,12,24,0,0.0655816056,56.05
466,13,24,0,0.0368004851,12.58
466,14,24,0,0.0178729572,13.33
466,15,24,0,0.0070619229,43.31
466,16,24,0,0.0020475053,41.46
466,17,24,0,0.0003617828,41.95
466,18,24,0,0.0000268709,44.47
466,19,24,0,0.00000035264646,22.9
